邊緣運算  ㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋ
不讀不回  ㄅㄨˋㄉㄨˊㄅㄨˋㄏㄨㄟˊ
截圖存證  ㄐㄧㄝˊㄊㄨˊㄘㄨㄣˊㄓㄥˋ
線上會議  ㄒㄧㄢˋㄕㄤˋㄏㄨㄟˋㄧˋ
靜音鍵  ㄐㄧㄥˋㄧㄣˉㄐㄧㄢˋ
開鏡頭  ㄎㄞˉㄐㄧㄥˋㄊㄡˊ
簡報分享  ㄐㄧㄢˇㄅㄠˋㄈㄣˉㄒㄧㄤˇ
斷線重連  ㄉㄨㄢˋㄒㄧㄢˋㄓㄨㄥˋㄌㄧㄢˊ
螢幕截圖  ㄧㄥˊㄇㄨˋㄐㄧㄝˊㄊㄨˊ
無痕模式  ㄨˊㄏㄣˊㄇㄛˊㄕˋ
快取清除  ㄎㄨㄞˋㄑㄩˇㄑㄧㄥˉㄔㄨˊ
重新整理  ㄔㄨㄥˊㄒㄧㄣˉㄓㄥˇㄌㄧˇ
強制關閉  ㄑㄧㄤˊㄓˋㄍㄨㄢˉㄅㄧˋ
當機重開  ㄉㄤˉㄐㄧˉㄓㄨㄥˋㄎㄞˉ
備份還原  ㄅㄟˋㄈㄣˋㄏㄞˊㄩㄢˊ
雲端硬碟  ㄩㄣˊㄉㄨㄢˉㄧㄥˋㄉㄧㄝˊ
外接硬碟  ㄨㄞˋㄐㄧㄝˉㄧㄥˋㄉㄧㄝˊ
固態硬碟  ㄍㄨˋㄊㄞˋㄧㄥˋㄉㄧㄝˊ
快充頭  ㄎㄨㄞˋㄔㄨㄥˉㄊㄡˊ
行動電源  ㄒㄧㄥˊㄉㄨㄥˋㄉㄧㄢˋㄩㄢˊ
函覆  ㄏㄢˊㄈㄨˋ
陳核  ㄔㄣˊㄏㄜˊ
時程規劃  ㄕˊㄔㄥˊㄍㄨㄟˉㄏㄨㄚˋ
管考追蹤  ㄍㄨㄢˇㄎㄠˇㄓㄨㄟˉㄗㄨㄥˉ
績效指標  ㄐㄧˉㄒㄧㄠˋㄓˇㄅㄧㄠˉ
關鍵結果  ㄍㄨㄢˉㄐㄧㄢˋㄐㄧㄝˊㄍㄨㄛˇ
資源整合  ㄗˉㄩㄢˊㄓㄥˇㄏㄜˊ
產能規劃  ㄔㄢˇㄋㄥˊㄍㄨㄟˉㄏㄨㄚˋ
進度落後  ㄐㄧㄣˋㄉㄨˋㄌㄨㄛˋㄏㄡˋ
進度超前  ㄐㄧㄣˋㄉㄨˋㄔㄠˉㄑㄧㄢˊ
如期交付  ㄖㄨˊㄑㄧˉㄐㄧㄠˉㄈㄨˋ
利害關係人  ㄌㄧˋㄏㄞˋㄍㄨㄢˉㄒㄧˋㄖㄣˊ
需求訪談  ㄒㄩˉㄑㄧㄡˊㄈㄤˇㄊㄢˊ
規格確認  ㄍㄨㄟˉㄍㄜˊㄑㄩㄝˋㄖㄣˋ
驗收標準  ㄧㄢˋㄕㄡˉㄅㄧㄠˉㄓㄨㄣˇ
測試報告  ㄘㄜˋㄕˋㄅㄠˋㄍㄠˋ
交付清單  ㄐㄧㄠˉㄈㄨˋㄑㄧㄥˉㄉㄢˉ
請款單  ㄑㄧㄥˇㄎㄨㄢˇㄉㄢˉ
報帳流程  ㄅㄠˋㄓㄤˋㄌㄧㄡˊㄔㄥˊ
差旅費  ㄔㄚˋㄌㄩˇㄈㄟˋ
核銷程序  ㄏㄜˊㄒㄧㄠˉㄔㄥˊㄒㄩˋ
發票憑證  ㄈㄚˉㄆㄧㄠˋㄆㄧㄥˊㄓㄥˋ
折讓單  ㄓㄜˊㄖㄤˋㄉㄢˉ
採購合約  ㄘㄞˇㄍㄡˋㄏㄜˊㄩㄝˉ
保密協定  ㄅㄠˇㄇㄧˋㄒㄧㄝˊㄉㄧㄥˋ
委外廠商  ㄨㄟˇㄨㄞˋㄔㄤˇㄕㄤˉ
協力廠商  ㄒㄧㄝˊㄌㄧˋㄔㄤˇㄕㄤˉ
供應商評鑑  ㄍㄨㄥˉㄧㄥˉㄕㄤˉㄆㄧㄥˊㄐㄧㄢˋ
交期確認  ㄐㄧㄠˉㄑㄧˊㄑㄩㄝˋㄖㄣˋ
庫存週轉  ㄎㄨˋㄘㄨㄣˊㄓㄡˉㄓㄨㄢˇ
安全庫存  ㄢˉㄑㄩㄢˊㄎㄨˋㄘㄨㄣˊ
呆料處理  ㄉㄞˉㄌㄧㄠˋㄔㄨˋㄌㄧˇ
不良率  ㄅㄨˋㄌㄧㄤˊㄌㄩˋ
良率分析  ㄌㄧㄤˊㄌㄩˋㄈㄣˉㄒㄧˉ
根因分析  ㄍㄣˉㄧㄣˉㄈㄣˉㄒㄧˉ
矯正措施  ㄐㄧㄠˇㄓㄥˋㄘㄨㄛˋㄕˉ
預防措施  ㄩˋㄈㄤˊㄘㄨㄛˋㄕˉ
持續改善  ㄔˊㄒㄩˋㄍㄞˇㄕㄢˋ
標準作業程序  ㄅㄧㄠˉㄓㄨㄣˇㄗㄨㄛˋㄧㄝˋㄔㄥˊㄒㄩˋ
工程變更  ㄍㄨㄥˉㄔㄥˊㄅㄧㄢˋㄍㄥˋ
產線調度  ㄔㄢˇㄒㄧㄢˋㄉㄧㄠˋㄉㄨˋ
加班申請  ㄐㄧㄚˉㄅㄢˉㄕㄣˉㄑㄧㄥˇ
特休假  ㄊㄜˋㄒㄧㄡˉㄐㄧㄚˋ
投保薪資  ㄊㄡˊㄅㄠˇㄒㄧㄣˉㄗˉ
投保金額  ㄊㄡˊㄅㄠˇㄐㄧㄣˉㄜˊ
勞退新制  ㄌㄠˊㄊㄨㄟˋㄒㄧㄣˉㄓˋ
雇主提繳  ㄍㄨˋㄓㄨˇㄊㄧˊㄐㄧㄠˇ
自願提繳  ㄗˋㄩㄢˋㄊㄧˊㄐㄧㄠˇ
扣繳義務人  ㄎㄡˋㄐㄧㄠˇㄧˋㄨˋㄖㄣˊ
補充保費  ㄅㄨˇㄔㄨㄥˉㄅㄠˇㄈㄟˋ
所得稅申報  ㄙㄨㄛˇ˙ㄉㄜㄕㄨㄟˋㄕㄣˉㄅㄠˋ
稅額試算  ㄕㄨㄟˋㄜˊㄕˋㄙㄨㄢˋ
自然人憑證  ㄗˋㄖㄢˊㄖㄣˊㄆㄧㄥˊㄓㄥˋ
工商憑證  ㄍㄨㄥˉㄕㄤˉㄆㄧㄥˊㄓㄥˋ
公司大小章  ㄍㄨㄥˉㄙˉㄉㄚˋㄒㄧㄠˇㄓㄤˉ
授權委託書  ㄕㄡˋㄑㄩㄢˊㄨㄟˇㄊㄨㄛˉㄕㄨˉ
公證請求書  ㄍㄨㄥˉㄓㄥˋㄑㄧㄥˇㄑㄧㄡˊㄕㄨˉ
調解委員會  ㄉㄧㄠˋㄐㄧㄝˇㄨㄟˇㄩㄢˊㄏㄨㄟˋ
勞資爭議  ㄌㄠˊㄗˉㄓㄥˉㄧˋ
離職證明  ㄌㄧˊㄓˊㄓㄥˋㄇㄧㄥˊ
微服務架構  ㄨㄟˉㄈㄨˊㄨˋㄐㄧㄚˋㄍㄡˋ
容器化技術  ㄖㄨㄥˊㄑㄧˋㄏㄨㄚˋㄐㄧˋㄕㄨˋ
版本控制  ㄅㄢˇㄅㄣˇㄎㄨㄥˋㄓˋ
分支管理  ㄈㄣˉㄓˉㄍㄨㄢˇㄌㄧˇ
合併請求  ㄏㄜˊㄅㄧㄥˋㄑㄧㄥˇㄑㄧㄡˊ
主幹分支  ㄓㄨˇㄍㄢˋㄈㄣˉㄓˉ
持續整合  ㄔˊㄒㄩˋㄓㄥˇㄏㄜˊ
持續交付  ㄔˊㄒㄩˋㄐㄧㄠˉㄈㄨˋ
單元測試  ㄉㄢˉㄩㄢˊㄘㄜˋㄕˋ
整合測試  ㄓㄥˇㄏㄜˊㄘㄜˋㄕˋ
壓力測試  ㄧㄚˉㄌㄧˋㄘㄜˋㄕˋ
負載平衡  ㄈㄨˋㄗㄞˋㄆㄧㄥˊㄏㄥˊ
負載測試  ㄈㄨˋㄗㄞˋㄘㄜˋㄕˋ
系統監控  ㄒㄧˋㄊㄨㄥˇㄐㄧㄢˉㄎㄨㄥˋ
日誌分析  ㄖˋㄓˋㄈㄣˉㄒㄧˉ
資安防護  ㄗˉㄢˉㄈㄤˊㄏㄨˋ
阻斷服務  ㄗㄨˇㄉㄨㄢˋㄈㄨˊㄨˋ
滲透測試  ㄕㄣˋㄊㄡˋㄘㄜˋㄕˋ
弱點掃描  ㄖㄨㄛˋㄉㄧㄢˇㄙㄠˇㄇㄧㄠˊ
權限管控  ㄑㄩㄢˊㄒㄧㄢˋㄍㄨㄢˇㄎㄨㄥˋ
多因子認證  ㄉㄨㄛˉㄧㄣˉ˙ㄗㄖㄣˋㄓㄥˋ
單一簽入  ㄉㄢˉㄧˉㄑㄧㄢˉㄖㄨˋ
憑證過期  ㄆㄧㄥˊㄓㄥˋㄍㄨㄛˋㄑㄧˊ
金鑰管理  ㄐㄧㄣˉㄧㄠˋㄍㄨㄢˇㄌㄧˇ
加密傳輸  ㄐㄧㄚˉㄇㄧˋㄔㄨㄢˊㄕㄨˉ
非對稱加密  ㄈㄟˉㄉㄨㄟˋㄔㄥˉㄐㄧㄚˉㄇㄧˋ
數位簽章  ㄕㄨˋㄨㄟˋㄑㄧㄢˉㄓㄤˉ
區塊鏈  ㄑㄩˉㄎㄨㄞˋㄌㄧㄢˋ
分散式系統  ㄈㄣˉㄙㄢˋㄕˋㄒㄧˋㄊㄨㄥˇ
邊緣裝置  ㄅㄧㄢˉㄩㄢˊㄓㄨㄤˉㄓˋ
嵌入式系統  ㄑㄧㄢˋㄖㄨˋㄕˋㄒㄧˋㄊㄨㄥˇ
韌體更新  ㄖㄣˋㄊㄧˇㄍㄥˉㄒㄧㄣˉ
驅動程式  ㄑㄩˉㄉㄨㄥˋㄔㄥˊㄕˋ
顯示卡  ㄒㄧㄢˇㄕˋㄎㄚˇ
處理器  ㄔㄨˋㄌㄧˇㄑㄧˋ
散熱模組  ㄙㄢˋㄖㄜˋㄇㄛˊㄗㄨˇ
電源供應器  ㄉㄧㄢˋㄩㄢˊㄍㄨㄥˉㄧㄥˉㄑㄧˋ
頻寬限制  ㄆㄧㄣˊㄎㄨㄢˉㄒㄧㄢˋㄓˋ
延遲時間  ㄧㄢˊㄔˊㄕˊㄐㄧㄢˉ
封包遺失  ㄈㄥˉㄅㄠˉㄧˊㄕˉ
封包分析  ㄈㄥˉㄅㄠˉㄈㄣˉㄒㄧˉ
反向代理  ㄈㄢˇㄒㄧㄤˋㄉㄞˋㄌㄧˇ
靜態快取  ㄐㄧㄥˋㄊㄞˋㄎㄨㄞˋㄑㄩˇ
動態路由  ㄉㄨㄥˋㄊㄞˋㄌㄨˋㄧㄡˊ
定期存款  ㄉㄧㄥˋㄑㄧˉㄘㄨㄣˊㄎㄨㄢˇ
定存質借  ㄉㄧㄥˋㄘㄨㄣˊㄓˊㄐㄧㄝˋ
零股交易  ㄌㄧㄥˊㄍㄨˇㄐㄧㄠˉㄧˋ
盤後定價  ㄆㄢˊㄏㄡˋㄉㄧㄥˋㄐㄧㄚˋ
盤中零股  ㄆㄢˊㄓㄨㄥˉㄌㄧㄥˊㄍㄨˇ
定期定額  ㄉㄧㄥˋㄑㄧˉㄉㄧㄥˋㄜˊ
高股息  ㄍㄠˉㄍㄨˇㄒㄧˊ
市值型  ㄕˋㄓˊㄒㄧㄥˊ
債券型  ㄓㄞˋㄑㄩㄢˋㄒㄧㄥˊ
溢價率  ㄧˋㄐㄧㄚˋㄌㄩˋ
折價率  ㄓㄜˊㄐㄧㄚˋㄌㄩˋ
收盤價  ㄕㄡˉㄆㄢˊㄐㄧㄚˋ
開盤價  ㄎㄞˉㄆㄢˊㄐㄧㄚˋ
跌停板  ㄉㄧㄝˉㄊㄧㄥˊㄅㄢˇ
當日沖銷  ㄉㄤˉㄖˋㄔㄨㄥˉㄒㄧㄠˉ
現股當沖  ㄒㄧㄢˋㄍㄨˇㄉㄤˉㄔㄨㄥˉ
信用交易  ㄒㄧㄣˋㄩㄥˋㄐㄧㄠˉㄧˋ
融資買進  ㄖㄨㄥˊㄗˉㄇㄞˇㄐㄧㄣˋ
融券賣出  ㄖㄨㄥˊㄑㄩㄢˋㄇㄞˋㄔㄨˉ
券商手續費  ㄑㄩㄢˋㄕㄤˉㄕㄡˇㄒㄩˋㄈㄟˋ
投保級距  ㄊㄡˊㄅㄠˇㄐㄧˊㄐㄩˋ
老年給付  ㄌㄠˇㄋㄧㄢˊㄍㄟˇㄈㄨˋ
勞工退休金  ㄌㄠˊㄍㄨㄥˉㄊㄨㄟˋㄒㄧㄡˉㄐㄧㄣˉ
限定繼承  ㄒㄧㄢˋㄉㄧㄥˋㄐㄧˋㄔㄥˊ
失業給付  ㄕˉㄧㄝˋㄍㄟˇㄈㄨˋ
職災保險  ㄓˊㄗㄞˉㄅㄠˇㄒㄧㄢˇ
生育給付  ㄕㄥˉㄩˋㄍㄟˇㄈㄨˋ
育兒津貼  ㄩˋㄦˊㄐㄧㄣˉㄊㄧㄝˉ
托育補助  ㄊㄨㄛˉㄩˋㄅㄨˇㄓㄨˋ
長照服務  ㄓㄤˇㄓㄠˋㄈㄨˊㄨˋ
巴氏量表  ㄅㄚˉㄕˋㄌㄧㄤˋㄅㄧㄠˇ
印鑑證明  ㄧㄣˋㄐㄧㄢˋㄓㄥˋㄇㄧㄥˊ
登記謄本  ㄉㄥˉㄐㄧˋㄊㄥˊㄅㄣˇ
權利書狀  ㄑㄩㄢˊㄌㄧˋㄕㄨˉㄓㄨㄤˋ
抵押權設定  ㄉㄧˇㄧㄚˉㄑㄩㄢˊㄕㄜˋㄉㄧㄥˋ
塗銷登記  ㄊㄨˊㄒㄧㄠˉㄉㄥˉㄐㄧˋ
實價登錄  ㄕˊㄐㄧㄚˋㄉㄥˉㄌㄨˋ
房地合一稅  ㄈㄤˊㄉㄧˋㄏㄜˊㄧˉㄕㄨㄟˋ
燃料使用費  ㄖㄢˊㄌㄧㄠˋㄕˇㄩㄥˋㄈㄟˋ
隨機應變  ㄙㄨㄟˊㄐㄧˉㄧㄥˉㄅㄧㄢˋ
竭盡所能  ㄐㄧㄝˊㄐㄧㄣˇㄙㄨㄛˇㄋㄥˊ
克盡職責  ㄎㄜˋㄐㄧㄣˇㄓˊㄗㄜˊ
殫精竭慮  ㄉㄢˉㄐㄧㄥˉㄐㄧㄝˊㄌㄩˋ
居安思危  ㄐㄩˉㄢˉㄙˉㄨㄟˉ
兵分兩路  ㄅㄧㄥˉㄈㄣˉㄌㄧㄤˇㄌㄨˋ
截長補短  ㄐㄧㄝˊㄓㄤˇㄅㄨˇㄉㄨㄢˇ
取長補短  ㄑㄩˇㄓㄤˇㄅㄨˇㄉㄨㄢˇ
異曲同工  ㄧˋㄑㄩˉㄊㄨㄥˊㄍㄨㄥˉ
突飛猛進  ㄊㄨˉㄈㄟˉㄇㄥˇㄐㄧㄣˋ
瓜熟蒂落  ㄍㄨㄚˉㄕㄨˊㄉㄧˋㄌㄨㄛˋ
捷報頻傳  ㄐㄧㄝˊㄅㄠˋㄆㄧㄣˊㄔㄨㄢˊ
兵貴神速  ㄅㄧㄥˉㄍㄨㄟˋㄕㄣˊㄙㄨˋ
爭分奪秒  ㄓㄥˉㄈㄣˉㄉㄨㄛˊㄇㄧㄠˇ
只爭朝夕  ㄓˇㄓㄥˉㄓㄠˉㄒㄧˉ
計日程功  ㄐㄧˋㄖˋㄔㄥˊㄍㄨㄥˉ
順藤摸瓜  ㄕㄨㄣˋㄊㄥˊㄇㄛˉㄍㄨㄚˉ
追根究底  ㄓㄨㄟˉㄍㄣˉㄐㄧㄡˉㄉㄧˇ
